                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.08491,                  0.639,                      1,                0.16238,               0.070013,              0.0033319,              0.0033319
                      1,                0.07667,                  0.742,                      1,                0.14509,               0.039931,              0.0065827,              0.0065827
                      2,                0.06813,                 0.8045,                      1,                0.13784,              0.0097659,              0.0097511,              0.0097511
                      3,                0.06005,                 0.8685,                      1,                0.12009,              0.0096288,              0.0096288,              0.0096288
                      4,                0.04818,                  0.868,                      1,                0.11351,              0.0096288,              0.0096288,              0.0096288
                      5,                0.04076,                  0.892,                      1,                0.10965,               0.009505,               0.009505,               0.009505
                      6,                0.03476,                 0.8945,                      1,                0.10545,              0.0093813,              0.0093813,              0.0093813
                      7,                0.03007,                  0.913,                      1,                0.10256,              0.0092575,              0.0092575,              0.0092575
                      8,                 0.0243,                 0.9055,                      1,                0.10348,              0.0091337,              0.0091337,              0.0091337
                      9,                0.02028,                  0.914,                      1,                0.10005,                0.00901,                0.00901,                0.00901
                     10,                0.01717,                 0.9125,                      1,                0.10065,              0.0088863,              0.0088863,              0.0088863
                     11,                0.01451,                  0.916,                      1,                0.09979,              0.0087625,              0.0087625,              0.0087625
                     12,                0.01314,                  0.908,                      1,                  0.101,              0.0086388,              0.0086388,              0.0086388
                     13,                0.01185,                  0.908,                      1,                0.10093,               0.008515,               0.008515,               0.008515
                     14,                0.00993,                 0.9245,                      1,                0.09732,              0.0083913,              0.0083913,              0.0083913
                     15,                0.00901,                 0.9195,                      1,                0.09808,              0.0082675,              0.0082675,              0.0082675
                     16,                0.00976,                 0.9175,                      1,                0.09851,              0.0081437,              0.0081437,              0.0081437
                     17,                0.00781,                 0.9165,                      1,                0.09802,                0.00802,                0.00802,                0.00802
                     18,                 0.0067,                 0.9195,                      1,                0.09764,              0.0078963,              0.0078963,              0.0078963
                     19,                0.00627,                  0.915,                      1,                0.09844,              0.0077725,              0.0077725,              0.0077725
                     20,                0.00654,                 0.9125,                      1,                0.09988,              0.0076488,              0.0076488,              0.0076488
                     21,                0.00533,                  0.914,                      1,                0.09892,               0.007525,               0.007525,               0.007525
                     22,                 0.0055,                  0.919,                      1,                0.09806,              0.0074013,              0.0074013,              0.0074013
                     23,                0.00587,                 0.9155,                      1,                0.09811,              0.0072775,              0.0072775,              0.0072775
                     24,                0.00501,                 0.9175,                      1,                0.09795,              0.0071538,              0.0071538,              0.0071538
                     25,                0.00462,                 0.9155,                      1,                0.09858,                0.00703,                0.00703,                0.00703
                     26,                0.00377,                 0.9115,                      1,                0.09831,              0.0069063,              0.0069063,              0.0069063
                     27,                0.00393,                  0.918,                      1,                0.09814,              0.0067825,              0.0067825,              0.0067825
                     28,                0.00347,                  0.917,                      1,                 0.0983,              0.0066587,              0.0066587,              0.0066587
                     29,                0.00315,                  0.921,                      1,                0.09789,               0.006535,               0.006535,               0.006535
                     30,                0.00301,                  0.917,                      1,                0.09807,              0.0064112,              0.0064112,              0.0064112
                     31,                0.00339,                  0.919,                      1,                0.09773,              0.0062875,              0.0062875,              0.0062875
                     32,                0.00301,                  0.921,                      1,                 0.0975,              0.0061637,              0.0061637,              0.0061637
                     33,                0.00304,                  0.921,                      1,                0.09746,                0.00604,                0.00604,                0.00604
                     34,                0.00237,                 0.9175,                      1,                0.09765,              0.0059163,              0.0059163,              0.0059163
                     35,                0.00247,                  0.922,                      1,                0.09657,              0.0057925,              0.0057925,              0.0057925
                     36,                0.00171,                 0.9245,                      1,                0.09644,              0.0056688,              0.0056688,              0.0056688
                     37,                0.00225,                  0.923,                      1,                0.09642,               0.005545,               0.005545,               0.005545
                     38,                0.00291,                 0.9205,                      1,                0.09711,              0.0054212,              0.0054212,              0.0054212
                     39,                  0.003,                 0.9195,                      1,                0.09704,              0.0052975,              0.0052975,              0.0052975
                     40,                 0.0017,                 0.9255,                      1,                0.09673,              0.0051737,              0.0051737,              0.0051737
                     41,                0.00228,                  0.925,                      1,                0.09659,                0.00505,                0.00505,                0.00505
                     42,                0.00218,                 0.9255,                      1,                0.09674,              0.0049263,              0.0049263,              0.0049263
                     43,                0.00173,                 0.9225,                      1,                0.09681,              0.0048025,              0.0048025,              0.0048025
                     44,                0.00163,                 0.9225,                      1,                0.09656,              0.0046788,              0.0046788,              0.0046788
                     45,                0.00175,                  0.922,                      1,                 0.0964,               0.004555,               0.004555,               0.004555
                     46,                0.00126,                  0.922,                      1,                0.09662,              0.0044313,              0.0044313,              0.0044313
                     47,                 0.0013,                  0.924,                      1,                0.09675,              0.0043075,              0.0043075,              0.0043075
                     48,                 0.0012,                 0.9225,                      1,                0.09692,              0.0041837,              0.0041837,              0.0041837
                     49,                0.00104,                  0.923,                      1,                0.09692,                0.00406,                0.00406,                0.00406
                     50,                0.00105,                 0.9235,                      1,                 0.0969,              0.0039362,              0.0039362,              0.0039362
