                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5112,                 2.6789,                 1.6071,                0.44368,                0.42131,                0.39291,                0.19043,                  1.663,                 2.7061,                  1.735,               0.070102,               0.003322,               0.003322
                      1,                 1.4854,                 2.1522,                 1.5927,                0.41202,                0.49419,                0.41931,                0.19483,                 1.7235,                 2.5878,                 1.8183,                0.04002,              0.0065729,              0.0065729
                      2,                 1.5366,                 2.0469,                 1.6307,                0.38322,                0.35488,                0.31815,                0.12753,                 2.0673,                 2.5791,                 2.1266,              0.0098552,              0.0097414,              0.0097414
                      3,                 1.6088,                 2.1128,                 1.7073,                0.46957,                0.44278,                0.43132,                0.18796,                 1.9523,                 2.4207,                 2.0406,              0.0096288,              0.0096288,              0.0096288
                      4,                 1.6142,                 2.0737,                 1.7109,                  0.451,                0.52327,                0.42777,                0.18565,                 1.7842,                 2.4933,                  1.935,              0.0096288,              0.0096288,              0.0096288
                      5,                 1.5645,                 2.0017,                 1.6711,                0.54116,                0.50988,                0.51556,                0.24428,                 1.7782,                 2.2168,                   1.88,               0.009505,               0.009505,               0.009505
                      6,                 1.5656,                  1.964,                 1.6754,                0.51612,                  0.494,                0.47048,                 0.2048,                 1.8899,                 2.1236,                 2.0499,              0.0093813,              0.0093813,              0.0093813
                      7,                 1.5375,                 1.8634,                 1.6553,                0.51233,                0.46657,                0.47171,                0.21186,                 1.9055,                   2.05,                 1.9542,              0.0092575,              0.0092575,              0.0092575
                      8,                 1.5233,                 1.8364,                 1.6376,                0.57961,                0.51773,                0.54524,                0.24927,                 1.8703,                 1.9713,                  1.925,              0.0091337,              0.0091337,              0.0091337
                      9,                 1.5053,                 1.7762,                 1.6263,                0.61292,                0.57792,                0.59584,                0.27388,                  1.815,                  1.992,                 1.8717,                0.00901,                0.00901,                0.00901
                     10,                 1.4791,                 1.7027,                 1.6012,                 0.5558,                0.60038,                0.58467,                0.27052,                 1.7535,                 1.8698,                 1.8036,              0.0088863,              0.0088863,              0.0088863
                     11,                 1.4563,                 1.6998,                 1.5953,                 0.5722,                 0.5354,                0.56927,                0.25248,                 1.8192,                 1.8833,                 1.9124,              0.0087625,              0.0087625,              0.0087625
                     12,                 1.4526,                 1.6567,                 1.5764,                0.57616,                0.50816,                0.52806,                0.23677,                 1.8612,                 1.9105,                 1.9811,              0.0086388,              0.0086388,              0.0086388
                     13,                 1.4267,                 1.6019,                  1.568,                 0.6695,                0.59794,                0.65785,                 0.3175,                  1.734,                 1.6226,                 1.8121,               0.008515,               0.008515,               0.008515
